  Residual norms for solver_ solve.
  0 KSP Residual norm 8.043873472078e-02 
  1 KSP Residual norm 1.736903351570e-03 
  2 KSP Residual norm 1.633905573544e-03 
  3 KSP Residual norm 1.358803544233e-03 
  4 KSP Residual norm 7.590620551923e-04 
  5 KSP Residual norm 4.785518677583e-04 
  6 KSP Residual norm 3.489823564998e-04 
  7 KSP Residual norm 3.160180562176e-04 
  8 KSP Residual norm 2.926415143798e-04 
  9 KSP Residual norm 2.558244936680e-04 
 10 KSP Residual norm 1.829454611333e-04 
 11 KSP Residual norm 1.397979393058e-04 
 12 KSP Residual norm 1.284523567510e-04 
 13 KSP Residual norm 1.234709752627e-04 
 14 KSP Residual norm 1.173626706501e-04 
 15 KSP Residual norm 1.000882452113e-04 
 16 KSP Residual norm 7.121053089102e-05 
 17 KSP Residual norm 5.400471443956e-05 
 18 KSP Residual norm 4.868827741545e-05 
 19 KSP Residual norm 4.602040935151e-05 
 20 KSP Residual norm 4.355572807596e-05 
 21 KSP Residual norm 3.735138431418e-05 
 22 KSP Residual norm 3.156431931424e-05 
 23 KSP Residual norm 2.935591719520e-05 
 24 KSP Residual norm 2.840032561314e-05 
 25 KSP Residual norm 2.759214250174e-05 
 26 KSP Residual norm 2.571255926059e-05 
 27 KSP Residual norm 2.404738432759e-05 
 28 KSP Residual norm 2.333799849328e-05 
 29 KSP Residual norm 2.315224817158e-05 
 30 KSP Residual norm 2.300975229335e-05 
 31 KSP Residual norm 2.269490289873e-05 
 32 KSP Residual norm 2.225037957628e-05 
 33 KSP Residual norm 2.195847223011e-05 
 34 KSP Residual norm 2.186652340708e-05 
 35 KSP Residual norm 2.181831112638e-05 
 36 KSP Residual norm 2.174149173699e-05 
 37 KSP Residual norm 2.156408795421e-05 
 38 KSP Residual norm 2.144234104650e-05 
 39 KSP Residual norm 2.140318460882e-05 
 40 KSP Residual norm 2.138244364792e-05 
 41 KSP Residual norm 2.136026859096e-05 
 42 KSP Residual norm 2.130795141056e-05 
 43 KSP Residual norm 2.121581346783e-05 
 44 KSP Residual norm 2.117403623414e-05 
 45 KSP Residual norm 2.115484633519e-05 
 46 KSP Residual norm 2.108550492807e-05 
 47 KSP Residual norm 2.092772230385e-05 
 48 KSP Residual norm 2.077196247291e-05 
 49 KSP Residual norm 2.069972792419e-05 
 50 KSP Residual norm 2.066510014591e-05 
 51 KSP Residual norm 2.061860799885e-05 
 52 KSP Residual norm 2.053779795627e-05 
 53 KSP Residual norm 2.038937430218e-05 
 54 KSP Residual norm 2.030978165722e-05 
 55 KSP Residual norm 2.026824214829e-05 
 56 KSP Residual norm 2.022002053731e-05 
 57 KSP Residual norm 2.004049551801e-05 
 58 KSP Residual norm 1.942173780711e-05 
 59 KSP Residual norm 1.878550809951e-05 
 60 KSP Residual norm 1.837124331351e-05 
 61 KSP Residual norm 1.802666370206e-05 
 62 KSP Residual norm 1.725247546145e-05 
 63 KSP Residual norm 1.533506664478e-05 
 64 KSP Residual norm 1.407134537632e-05 
 65 KSP Residual norm 1.362152608264e-05 
 66 KSP Residual norm 1.343086186403e-05 
 67 KSP Residual norm 1.318904618647e-05 
 68 KSP Residual norm 1.265372555687e-05 
 69 KSP Residual norm 1.207060492337e-05 
 70 KSP Residual norm 1.186249489829e-05 
 71 KSP Residual norm 1.178490748629e-05 
 72 KSP Residual norm 1.167650183051e-05 
 73 KSP Residual norm 1.148703468649e-05 
 74 KSP Residual norm 1.126680328596e-05 
 75 KSP Residual norm 1.120603011103e-05 
 76 KSP Residual norm 1.118158601465e-05 
 77 KSP Residual norm 1.114377740299e-05 
 78 KSP Residual norm 1.105318369930e-05 
 79 KSP Residual norm 1.092569449956e-05 
 80 KSP Residual norm 1.084844863195e-05 
 81 KSP Residual norm 1.083005047496e-05 
 82 KSP Residual norm 1.082316765310e-05 
 83 KSP Residual norm 1.081099435084e-05 
 84 KSP Residual norm 1.079696473295e-05 
 85 KSP Residual norm 1.079056704279e-05 
 86 KSP Residual norm 1.078764621119e-05 
 87 KSP Residual norm 1.078173749144e-05 
 88 KSP Residual norm 1.075757400810e-05 
 89 KSP Residual norm 1.069192154952e-05 
 90 KSP Residual norm 1.061749873556e-05 
 91 KSP Residual norm 1.057313646538e-05 
 92 KSP Residual norm 1.053951185025e-05 
 93 KSP Residual norm 1.044734265939e-05 
 94 KSP Residual norm 1.018906619250e-05 
 95 KSP Residual norm 9.861652475416e-06 
 96 KSP Residual norm 9.728117927517e-06 
 97 KSP Residual norm 9.614411961171e-06 
 98 KSP Residual norm 9.351154974263e-06 
 99 KSP Residual norm 8.545208362128e-06 
100 KSP Residual norm 7.605786052719e-06 
