  Residual norms for solver_ solve.
  0 KSP Residual norm 3.252897454820e+00 
  1 KSP Residual norm 1.045712852200e+00 
  2 KSP Residual norm 4.506632174463e-01 
  3 KSP Residual norm 1.295673873073e-01 
  4 KSP Residual norm 5.239394383766e-02 
  5 KSP Residual norm 3.427721897503e-02 
  6 KSP Residual norm 2.824262747254e-02 
  7 KSP Residual norm 2.702325226888e-02 
  8 KSP Residual norm 2.346743552306e-02 
  9 KSP Residual norm 1.544722197438e-02 
 10 KSP Residual norm 9.844818799157e-03 
 11 KSP Residual norm 6.620934006282e-03 
 12 KSP Residual norm 5.920450691547e-03 
 13 KSP Residual norm 5.680616968256e-03 
 14 KSP Residual norm 5.342430197990e-03 
 15 KSP Residual norm 4.553164177330e-03 
 16 KSP Residual norm 3.389427420758e-03 
 17 KSP Residual norm 2.827978160344e-03 
 18 KSP Residual norm 2.620746125229e-03 
 19 KSP Residual norm 2.498868603731e-03 
 20 KSP Residual norm 2.185505282685e-03 
 21 KSP Residual norm 1.614605683292e-03 
 22 KSP Residual norm 1.260255142235e-03 
 23 KSP Residual norm 1.098622928047e-03 
 24 KSP Residual norm 1.030122833722e-03 
 25 KSP Residual norm 9.320871829848e-04 
 26 KSP Residual norm 7.533547502920e-04 
 27 KSP Residual norm 6.358746628244e-04 
 28 KSP Residual norm 5.964307361144e-04 
 29 KSP Residual norm 5.846868591225e-04 
 30 KSP Residual norm 5.733931102920e-04 
 31 KSP Residual norm 5.479893435666e-04 
 32 KSP Residual norm 5.035190069164e-04 
 33 KSP Residual norm 4.762995599918e-04 
 34 KSP Residual norm 4.683922097879e-04 
 35 KSP Residual norm 4.646597726842e-04 
 36 KSP Residual norm 4.604566040533e-04 
 37 KSP Residual norm 4.533907254479e-04 
 38 KSP Residual norm 4.478954460555e-04 
 39 KSP Residual norm 4.462623929858e-04 
 40 KSP Residual norm 4.457780467801e-04 
 41 KSP Residual norm 4.454777318840e-04 
 42 KSP Residual norm 4.449337724014e-04 
 43 KSP Residual norm 4.443251858194e-04 
 44 KSP Residual norm 4.440528149011e-04 
 45 KSP Residual norm 4.438795760715e-04 
 46 KSP Residual norm 4.435374420011e-04 
 47 KSP Residual norm 4.424235190026e-04 
 48 KSP Residual norm 4.408139337529e-04 
 49 KSP Residual norm 4.400189836600e-04 
 50 KSP Residual norm 4.397424294974e-04 
 51 KSP Residual norm 4.395261269679e-04 
 52 KSP Residual norm 4.389644614213e-04 
 53 KSP Residual norm 4.376436720707e-04 
 54 KSP Residual norm 4.362263147807e-04 
 55 KSP Residual norm 4.354874962353e-04 
 56 KSP Residual norm 4.348058833936e-04 
 57 KSP Residual norm 4.328836938948e-04 
 58 KSP Residual norm 4.277355437671e-04 
 59 KSP Residual norm 4.216367931030e-04 
 60 KSP Residual norm 4.183907717845e-04 
 61 KSP Residual norm 4.157184656990e-04 
 62 KSP Residual norm 4.088516445477e-04 
 63 KSP Residual norm 3.877951018777e-04 
 64 KSP Residual norm 3.566285403296e-04 
 65 KSP Residual norm 3.410904211445e-04 
 66 KSP Residual norm 3.347591791049e-04 
 67 KSP Residual norm 3.281653609900e-04 
 68 KSP Residual norm 3.125878914069e-04 
 69 KSP Residual norm 2.879131204350e-04 
 70 KSP Residual norm 2.732395592847e-04 
 71 KSP Residual norm 2.661770884551e-04 
 72 KSP Residual norm 2.583617125234e-04 
 73 KSP Residual norm 2.381954258058e-04 
 74 KSP Residual norm 2.036935485392e-04 
 75 KSP Residual norm 1.845797749323e-04 
 76 KSP Residual norm 1.766234085555e-04 
 77 KSP Residual norm 1.689042832314e-04 
 78 KSP Residual norm 1.504102083488e-04 
 79 KSP Residual norm 1.184610691369e-04 
 80 KSP Residual norm 9.930543968486e-05 
 81 KSP Residual norm 9.268332072322e-05 
 82 KSP Residual norm 8.852339726537e-05 
 83 KSP Residual norm 8.051498426986e-05 
 84 KSP Residual norm 6.691756764079e-05 
 85 KSP Residual norm 5.862437402707e-05 
 86 KSP Residual norm 5.594124079774e-05 
 87 KSP Residual norm 5.475401725063e-05 
 88 KSP Residual norm 5.325788311267e-05 
 89 KSP Residual norm 5.031676944363e-05 
 90 KSP Residual norm 4.726583148269e-05 
 91 KSP Residual norm 4.590224382038e-05 
 92 KSP Residual norm 4.526453231114e-05 
 93 KSP Residual norm 4.440453792910e-05 
 94 KSP Residual norm 4.251239683347e-05 
 95 KSP Residual norm 4.064646777355e-05 
 96 KSP Residual norm 3.991016888908e-05 
 97 KSP Residual norm 3.963714640335e-05 
 98 KSP Residual norm 3.936828372020e-05 
 99 KSP Residual norm 3.876993084141e-05 
100 KSP Residual norm 3.793382504405e-05 
