  Residual norms for solver_ solve.
  0 KSP Residual norm 3.053345160094e+00 
  1 KSP Residual norm 3.044621819934e+00 
  2 KSP Residual norm 3.038419192553e+00 
  3 KSP Residual norm 3.032626162771e+00 
  4 KSP Residual norm 3.029990551603e+00 
  5 KSP Residual norm 3.029741296373e+00 
  6 KSP Residual norm 3.027317544434e+00 
  7 KSP Residual norm 3.026065870572e+00 
  8 KSP Residual norm 3.024428263211e+00 
  9 KSP Residual norm 3.017714100491e+00 
 10 KSP Residual norm 3.017562420342e+00 
 11 KSP Residual norm 3.013296814536e+00 
 12 KSP Residual norm 3.010296510294e+00 
 13 KSP Residual norm 3.010134363169e+00 
 14 KSP Residual norm 3.003398374056e+00 
 15 KSP Residual norm 2.995556665960e+00 
 16 KSP Residual norm 2.988953237777e+00 
 17 KSP Residual norm 2.984932473887e+00 
 18 KSP Residual norm 2.984537339768e+00 
 19 KSP Residual norm 2.970355510782e+00 
 20 KSP Residual norm 2.969996352601e+00 
 21 KSP Residual norm 2.969515072673e+00 
 22 KSP Residual norm 2.969129585905e+00 
 23 KSP Residual norm 2.966747016871e+00 
 24 KSP Residual norm 2.964931226610e+00 
 25 KSP Residual norm 2.964825360123e+00 
 26 KSP Residual norm 2.960146200637e+00 
 27 KSP Residual norm 2.960135205741e+00 
 28 KSP Residual norm 2.959989697201e+00 
 29 KSP Residual norm 2.957375276143e+00 
 30 KSP Residual norm 2.953826106497e+00 
  Residual norms for solver_ solve.
  0 KSP Residual norm 2.949004100183e+00 
  1 KSP Residual norm 2.948968344381e+00 
  2 KSP Residual norm 2.948962283219e+00 
  3 KSP Residual norm 2.948961874896e+00 
  4 KSP Residual norm 2.948961824789e+00 
  5 KSP Residual norm 2.948734775864e+00 
  6 KSP Residual norm 2.948393028756e+00 
  7 KSP Residual norm 2.948389213193e+00 
  8 KSP Residual norm 2.948380882579e+00 
  9 KSP Residual norm 2.948379273181e+00 
 10 KSP Residual norm 2.948219790937e+00 
 11 KSP Residual norm 2.947901755756e+00 
 12 KSP Residual norm 2.947901741887e+00 
 13 KSP Residual norm 2.947708723644e+00 
 14 KSP Residual norm 2.947708701056e+00 
 15 KSP Residual norm 2.947699091683e+00 
 16 KSP Residual norm 2.947670213412e+00 
 17 KSP Residual norm 2.947625252983e+00 
 18 KSP Residual norm 2.947503425221e+00 
 19 KSP Residual norm 2.947491636062e+00 
 20 KSP Residual norm 2.947294035759e+00 
 21 KSP Residual norm 2.947082190490e+00 
 22 KSP Residual norm 2.947004663339e+00 
 23 KSP Residual norm 2.946959104997e+00 
 24 KSP Residual norm 2.946951734980e+00 
 25 KSP Residual norm 2.946915171394e+00 
 26 KSP Residual norm 2.946912291395e+00 
 27 KSP Residual norm 2.946912274281e+00 
 28 KSP Residual norm 2.946725640155e+00 
 29 KSP Residual norm 2.946628387544e+00 
 30 KSP Residual norm 2.946620334907e+00 
  Residual norms for solver_ solve.
  0 KSP Residual norm 8.633037816718e+06 
  1 KSP Residual norm 8.633037791210e+06 
  2 KSP Residual norm 8.633037552513e+06 
  3 KSP Residual norm 8.633037341415e+06 
  4 KSP Residual norm 8.633036602785e+06 
  5 KSP Residual norm 8.632868706191e+06 
  6 KSP Residual norm 8.632367659043e+06 
  7 KSP Residual norm 8.629819015259e+06 
  8 KSP Residual norm 8.616531007306e+06 
  9 KSP Residual norm 8.586152966536e+06 
 10 KSP Residual norm 8.578891905791e+06 
 11 KSP Residual norm 8.562717840455e+06 
 12 KSP Residual norm 8.551321642494e+06 
 13 KSP Residual norm 8.416074110664e+06 
 14 KSP Residual norm 8.287717524605e+06 
 15 KSP Residual norm 8.020629171157e+06 
 16 KSP Residual norm 7.907374169946e+06 
 17 KSP Residual norm 6.265774473413e+06 
 18 KSP Residual norm 4.756292025718e+06 
 19 KSP Residual norm 4.286151746354e+06 
 20 KSP Residual norm 3.685243156960e+06 
 21 KSP Residual norm 2.035696965119e+06 
 22 KSP Residual norm 2.023133267949e+06 
 23 KSP Residual norm 1.942452949854e+06 
 24 KSP Residual norm 1.941609363375e+06 
 25 KSP Residual norm 1.935348853252e+06 
 26 KSP Residual norm 1.927154662924e+06 
 27 KSP Residual norm 1.901104648041e+06 
 28 KSP Residual norm 1.711185143978e+06 
 29 KSP Residual norm 1.594210970637e+06 
 30 KSP Residual norm 1.423552644134e+06 
  Residual norms for solver_ solve.
  0 KSP Residual norm 4.857779425179e+11 
  1 KSP Residual norm 4.857779412258e+11 
  2 KSP Residual norm 4.857779048536e+11 
  3 KSP Residual norm 4.857778835570e+11 
  4 KSP Residual norm 4.857777054059e+11 
  5 KSP Residual norm 4.857744284023e+11 
  6 KSP Residual norm 4.857728671282e+11 
  7 KSP Residual norm 4.857606092207e+11 
  8 KSP Residual norm 4.857601761774e+11 
  9 KSP Residual norm 4.857592609135e+11 
 10 KSP Residual norm 4.857592559575e+11 
 11 KSP Residual norm 4.857592003916e+11 
 12 KSP Residual norm 4.857591790906e+11 
 13 KSP Residual norm 4.857591769402e+11 
 14 KSP Residual norm 4.857590757683e+11 
 15 KSP Residual norm 4.857590754971e+11 
 16 KSP Residual norm 4.857590698808e+11 
 17 KSP Residual norm 4.857590670947e+11 
 18 KSP Residual norm 4.857590670378e+11 
 19 KSP Residual norm 4.857590665493e+11 
 20 KSP Residual norm 4.857590661138e+11 
 21 KSP Residual norm 4.857590634337e+11 
 22 KSP Residual norm 4.857590599025e+11 
 23 KSP Residual norm 4.857590595322e+11 
 24 KSP Residual norm 4.857590406135e+11 
 25 KSP Residual norm 4.857590393009e+11 
 26 KSP Residual norm 4.857590219181e+11 
 27 KSP Residual norm 4.857590200986e+11 
 28 KSP Residual norm 4.857590031690e+11 
 29 KSP Residual norm 4.857590031535e+11 
 30 KSP Residual norm 4.857589771573e+11 
  Residual norms for solver_ solve.
  0 KSP Residual norm 2.470027210636e+15 
  1 KSP Residual norm 2.470027207371e+15 
  2 KSP Residual norm 2.470027185608e+15 
  3 KSP Residual norm 2.470027171921e+15 
  4 KSP Residual norm 2.470027169898e+15 
  5 KSP Residual norm 2.470027169823e+15 
  6 KSP Residual norm 2.470027169786e+15 
  7 KSP Residual norm 2.470027168122e+15 
  8 KSP Residual norm 2.470027163605e+15 
  9 KSP Residual norm 2.470027163602e+15 
 10 KSP Residual norm 2.470027160905e+15 
 11 KSP Residual norm 2.470027160821e+15 
 12 KSP Residual norm 2.470027160124e+15 
 13 KSP Residual norm 2.470027158882e+15 
 14 KSP Residual norm 2.470027158852e+15 
 15 KSP Residual norm 2.470027158559e+15 
 16 KSP Residual norm 2.470027157822e+15 
 17 KSP Residual norm 2.470027157653e+15 
 18 KSP Residual norm 2.470027157649e+15 
 19 KSP Residual norm 2.470027157545e+15 
