It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	4.42213	1	0	0
1	0.00107768	0.000243701	439.885	19
2	3.22085e-06	7.28348e-07	2.89832	14
3	1.38383e-08	3.12933e-09	0.00902305	5
4	8.01611e-10	1.81273e-10	6.58661e-05	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	4.42213	1	0	0
1	0.00107768	0.000243701	439.885	19
2	3.22085e-06	7.28348e-07	2.89832	14
3	1.38383e-08	3.12933e-09	0.00902305	5
4	8.01611e-10	1.81273e-10	6.58662e-05	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	4.42213	1	0	0
1	0.00107768	0.000243701	439.885	19
2	3.22085e-06	7.28348e-07	2.89832	14
3	1.38383e-08	3.12933e-09	0.00902305	5
4	8.01611e-10	1.81273e-10	6.58662e-05	2
