It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.76551	1	0	0
1	0.00135466	0.000767291	1293.7	90
2	1.81874e-05	1.03015e-05	13.7956	42
3	1.9356e-07	1.09634e-07	0.0517396	23
4	1.89994e-09	1.07614e-09	0.000383857	3
5	6.57467e-10	3.72394e-10	2.88861e-05	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.76551	1	0	0
1	0.00135466	0.000767291	1293.7	33
2	1.81874e-05	1.03015e-05	13.7956	42
3	1.9356e-07	1.09634e-07	0.0517396	23
4	1.89979e-09	1.07605e-09	0.000383845	3
5	6.57082e-10	3.72176e-10	2.88806e-05	2
