  Residual norms for solver_ solve.
  0 KSP Residual norm 6.254435691177e+00 
  1 KSP Residual norm 5.937676405859e-01 
  2 KSP Residual norm 1.347940254816e-02 
  3 KSP Residual norm 6.754138588181e-03 
  4 KSP Residual norm 4.620568128397e-03 
  5 KSP Residual norm 3.445540907202e-03 
  6 KSP Residual norm 2.742655902505e-03 
  7 KSP Residual norm 2.613404776963e-03 
  8 KSP Residual norm 1.705303339105e-03 
  9 KSP Residual norm 1.687420340499e-03 
 10 KSP Residual norm 1.184655788023e-03 
 11 KSP Residual norm 1.177652371735e-03 
 12 KSP Residual norm 7.358515366932e-04 
 13 KSP Residual norm 7.352550666879e-04 
 14 KSP Residual norm 5.228874030021e-04 
 15 KSP Residual norm 5.210163187831e-04 
 16 KSP Residual norm 3.241265704239e-04 
 17 KSP Residual norm 3.234594472251e-04 
 18 KSP Residual norm 2.027828565040e-04 
 19 KSP Residual norm 2.010612078386e-04 
 20 KSP Residual norm 1.117613332777e-04 
 21 KSP Residual norm 1.117557076525e-04 
 22 KSP Residual norm 6.990859549815e-05 
 23 KSP Residual norm 6.972398829861e-05 
 24 KSP Residual norm 4.520957060617e-05 
 25 KSP Residual norm 4.493194599133e-05 
 26 KSP Residual norm 2.683861604405e-05 
 27 KSP Residual norm 2.653717360035e-05 
 28 KSP Residual norm 1.729384804151e-05 
 29 KSP Residual norm 1.674826643456e-05 
 30 KSP Residual norm 9.081345685950e-06 
 31 KSP Residual norm 8.989462524387e-06 
 32 KSP Residual norm 5.805939564177e-06 
 33 KSP Residual norm 5.523428012493e-06 
 34 KSP Residual norm 3.928528004969e-06 
 35 KSP Residual norm 3.740878733160e-06 
 36 KSP Residual norm 2.562118862676e-06 
 37 KSP Residual norm 2.407449496909e-06 
 38 KSP Residual norm 1.686665411771e-06 
 39 KSP Residual norm 1.531008127193e-06 
 40 KSP Residual norm 9.727348466681e-07 
 41 KSP Residual norm 9.265416022716e-07 
 42 KSP Residual norm 4.881212936190e-07 
 43 KSP Residual norm 4.675863727736e-07 
 44 KSP Residual norm 3.037696290007e-07 
 45 KSP Residual norm 2.838001065846e-07 
 46 KSP Residual norm 1.685187862085e-07 
 47 KSP Residual norm 1.598433982957e-07 
 48 KSP Residual norm 7.970368013999e-08 
 49 KSP Residual norm 7.800210592404e-08 
 50 KSP Residual norm 4.133103832963e-08 
 51 KSP Residual norm 4.072951221582e-08 
 52 KSP Residual norm 1.998238561292e-08 
 53 KSP Residual norm 1.974205707641e-08 
 54 KSP Residual norm 8.653583606015e-09 
 55 KSP Residual norm 8.646829332874e-09 
 56 KSP Residual norm 4.053267501686e-09 
 57 KSP Residual norm 3.978179999200e-09 
 58 KSP Residual norm 2.227966063699e-09 
 59 KSP Residual norm 2.127287491560e-09 
 60 KSP Residual norm 1.184589939516e-09 
 61 KSP Residual norm 1.156876885663e-09 
 62 KSP Residual norm 6.064868116864e-10 
