  Residual norms for solver_ solve.
  0 KSP Residual norm 4.767158015659e-01 
  1 KSP Residual norm 1.076141508779e-02 
  2 KSP Residual norm 3.839505983201e-03 
  3 KSP Residual norm 1.049451460835e-03 
  4 KSP Residual norm 4.177105939436e-04 
  5 KSP Residual norm 4.174177231168e-04 
  6 KSP Residual norm 1.980428183231e-04 
  7 KSP Residual norm 1.274143797968e-04 
  8 KSP Residual norm 5.379392092053e-05 
  9 KSP Residual norm 1.647478348365e-05 
 10 KSP Residual norm 1.640628751905e-05 
 11 KSP Residual norm 5.174332175628e-06 
 12 KSP Residual norm 1.753023993717e-06 
 13 KSP Residual norm 5.270004374771e-07 
 14 KSP Residual norm 2.872869607259e-07 
 15 KSP Residual norm 2.835812316807e-07 
 16 KSP Residual norm 1.339561365113e-07 
 17 KSP Residual norm 6.359145598965e-08 
 18 KSP Residual norm 3.570757143947e-08 
 19 KSP Residual norm 1.848019404400e-08 
 20 KSP Residual norm 1.807891781112e-08 
 21 KSP Residual norm 8.206850383402e-09 
 22 KSP Residual norm 3.121979163475e-09 
 23 KSP Residual norm 1.226648651776e-09 
 24 KSP Residual norm 4.862063753741e-10 
 25 KSP Residual norm 4.737166222316e-10 
 26 KSP Residual norm 2.045927613945e-10 
 27 KSP Residual norm 9.824419706892e-11 
