  Residual norms for solver_ solve.
  0 KSP Residual norm 4.860699070726e-01 
  1 KSP Residual norm 2.483579070860e-02 
  2 KSP Residual norm 8.671037229847e-03 
  3 KSP Residual norm 2.999964996866e-03 
  4 KSP Residual norm 1.358893544354e-03 
  5 KSP Residual norm 8.636296170908e-04 
  6 KSP Residual norm 8.621467853328e-04 
  7 KSP Residual norm 3.083669972054e-04 
  8 KSP Residual norm 1.192875516268e-04 
  9 KSP Residual norm 2.744743112855e-05 
 10 KSP Residual norm 9.382039275578e-06 
 11 KSP Residual norm 4.712268859607e-06 
 12 KSP Residual norm 4.694786934953e-06 
 13 KSP Residual norm 2.500331326104e-06 
 14 KSP Residual norm 1.126029740447e-06 
 15 KSP Residual norm 5.810620257005e-07 
 16 KSP Residual norm 2.874067365162e-07 
 17 KSP Residual norm 6.302766839498e-08 
 18 KSP Residual norm 6.267004241152e-08 
 19 KSP Residual norm 2.579704129189e-08 
 20 KSP Residual norm 1.126674361847e-08 
 21 KSP Residual norm 5.676694607190e-09 
 22 KSP Residual norm 2.385560937776e-09 
 23 KSP Residual norm 1.354915529081e-09 
 24 KSP Residual norm 1.350702657612e-09 
 25 KSP Residual norm 6.260846026467e-10 
 26 KSP Residual norm 2.868903675257e-10 
 27 KSP Residual norm 8.558866484364e-11 
