  Residual norms for solver_ solve.
  0 KSP Residual norm 2.223558518262e+00 
  1 KSP Residual norm 6.172333518567e-02 
  2 KSP Residual norm 6.067979217904e-02 
  3 KSP Residual norm 6.067979213165e-02 
  4 KSP Residual norm 5.551218661766e-02 
  5 KSP Residual norm 5.316530053016e-02 
  6 KSP Residual norm 4.172620613689e-02 
  7 KSP Residual norm 3.974682158941e-02 
  8 KSP Residual norm 3.626299708619e-02 
  9 KSP Residual norm 2.643789808361e-02 
 10 KSP Residual norm 2.272272310104e-02 
 11 KSP Residual norm 1.796251729949e-02 
 12 KSP Residual norm 1.152583292537e-02 
 13 KSP Residual norm 5.021921119612e-03 
 14 KSP Residual norm 3.041113545815e-03 
 15 KSP Residual norm 1.852046493177e-03 
 16 KSP Residual norm 8.264926008298e-04 
 17 KSP Residual norm 6.811281151806e-04 
 18 KSP Residual norm 3.358660521145e-04 
 19 KSP Residual norm 2.259112093875e-04 
 20 KSP Residual norm 1.490120720161e-04 
 21 KSP Residual norm 8.433620610270e-05 
 22 KSP Residual norm 5.355584288980e-05 
 23 KSP Residual norm 4.169137272975e-05 
 24 KSP Residual norm 2.992291192331e-05 
 25 KSP Residual norm 1.582533194077e-05 
 26 KSP Residual norm 8.260943167484e-06 
 27 KSP Residual norm 4.178726012827e-06 
 28 KSP Residual norm 1.007727282519e-06 
 29 KSP Residual norm 4.360129943519e-07 
 30 KSP Residual norm 2.100098944548e-07 
 31 KSP Residual norm 1.010542506087e-07 
 32 KSP Residual norm 4.566223251539e-08 
 33 KSP Residual norm 1.878899515839e-08 
 34 KSP Residual norm 1.473094630874e-08 
 35 KSP Residual norm 6.870399274117e-09 
 36 KSP Residual norm 3.290161142353e-09 
 37 KSP Residual norm 1.602977457418e-09 
 38 KSP Residual norm 7.173675142547e-10 
 39 KSP Residual norm 3.488269539948e-10 
  Residual norms for solver_ solve.
  0 KSP Residual norm 2.223558518262e+00 
  1 KSP Residual norm 5.350132693945e-02 
  2 KSP Residual norm 2.650562009386e-02 
  3 KSP Residual norm 9.396081725804e-03 
  4 KSP Residual norm 4.011040711898e-03 
  5 KSP Residual norm 1.699704650550e-03 
  6 KSP Residual norm 6.982674486234e-04 
  7 KSP Residual norm 3.542138458942e-04 
  8 KSP Residual norm 1.424329203027e-04 
  9 KSP Residual norm 1.028207870114e-04 
 10 KSP Residual norm 5.699215668781e-05 
 11 KSP Residual norm 3.886690482461e-05 
 12 KSP Residual norm 1.784224971220e-05 
 13 KSP Residual norm 8.945529936173e-06 
 14 KSP Residual norm 6.528424467463e-06 
 15 KSP Residual norm 2.526811253443e-06 
 16 KSP Residual norm 1.275260469842e-06 
 17 KSP Residual norm 4.869521587589e-07 
 18 KSP Residual norm 1.528309954477e-07 
 19 KSP Residual norm 6.865226855723e-08 
 20 KSP Residual norm 3.137731972710e-08 
 21 KSP Residual norm 9.946641369991e-09 
 22 KSP Residual norm 6.354979951610e-09 
 23 KSP Residual norm 3.896719383231e-09 
 24 KSP Residual norm 2.119361795641e-09 
 25 KSP Residual norm 9.141535520278e-10 
 26 KSP Residual norm 5.755942844544e-10 
 27 KSP Residual norm 2.985221806722e-10 
  Residual norms for solver_ solve.
  0 KSP Residual norm 2.223558518262e+00 
  1 KSP Residual norm 5.350132693945e-02 
  2 KSP Residual norm 2.650562009386e-02 
  3 KSP Residual norm 9.396081725804e-03 
  4 KSP Residual norm 4.011040711898e-03 
  5 KSP Residual norm 1.699704650550e-03 
  6 KSP Residual norm 6.982674486234e-04 
  7 KSP Residual norm 3.542138458942e-04 
  8 KSP Residual norm 1.424329203027e-04 
  9 KSP Residual norm 1.028207870114e-04 
 10 KSP Residual norm 5.699215668781e-05 
 11 KSP Residual norm 3.886690482461e-05 
 12 KSP Residual norm 1.784224971220e-05 
 13 KSP Residual norm 8.945529936173e-06 
 14 KSP Residual norm 6.528424467463e-06 
 15 KSP Residual norm 2.526811253443e-06 
 16 KSP Residual norm 1.275260469842e-06 
 17 KSP Residual norm 4.869521587589e-07 
 18 KSP Residual norm 1.528309954477e-07 
 19 KSP Residual norm 6.865226855723e-08 
 20 KSP Residual norm 3.137731972710e-08 
 21 KSP Residual norm 9.946641369991e-09 
 22 KSP Residual norm 6.354979951610e-09 
 23 KSP Residual norm 3.896719383231e-09 
 24 KSP Residual norm 2.119361795641e-09 
 25 KSP Residual norm 9.141535520278e-10 
 26 KSP Residual norm 5.755942844544e-10 
 27 KSP Residual norm 2.985221806722e-10 
