  Residual norms for solver_ solve.
  0 KSP Residual norm 2.876017641207e-01 
  1 KSP Residual norm 2.456502107238e-03 
  2 KSP Residual norm 1.203104100804e-03 
  3 KSP Residual norm 3.790720961377e-04 
  4 KSP Residual norm 3.790137681997e-04 
  5 KSP Residual norm 2.162924006946e-04 
  6 KSP Residual norm 9.740302220958e-05 
  7 KSP Residual norm 4.314896853047e-05 
  8 KSP Residual norm 4.314499978665e-05 
  9 KSP Residual norm 2.534345200539e-05 
 10 KSP Residual norm 1.427092443351e-05 
 11 KSP Residual norm 8.837876862047e-06 
 12 KSP Residual norm 8.837499122499e-06 
 13 KSP Residual norm 4.630173913558e-06 
 14 KSP Residual norm 2.587041607386e-06 
 15 KSP Residual norm 1.644598977762e-06 
 16 KSP Residual norm 1.644569569090e-06 
 17 KSP Residual norm 1.017299654877e-06 
 18 KSP Residual norm 6.681941712757e-07 
 19 KSP Residual norm 4.131584359061e-07 
 20 KSP Residual norm 4.131350433511e-07 
 21 KSP Residual norm 2.390781384765e-07 
 22 KSP Residual norm 1.446840000020e-07 
 23 KSP Residual norm 8.095162522494e-08 
 24 KSP Residual norm 8.094419499692e-08 
 25 KSP Residual norm 3.707414530383e-08 
 26 KSP Residual norm 1.514003134479e-08 
 27 KSP Residual norm 7.521406083485e-09 
 28 KSP Residual norm 7.520805878721e-09 
 29 KSP Residual norm 3.297761833822e-09 
 30 KSP Residual norm 1.375731475658e-09 
 31 KSP Residual norm 6.513920239275e-10 
 32 KSP Residual norm 6.513239005336e-10 
 33 KSP Residual norm 2.826504460410e-10 
 34 KSP Residual norm 1.509371260104e-10 
 35 KSP Residual norm 8.949105117863e-11 
