  Residual norms for solver_ solve.
  0 KSP Residual norm 8.465079087846e-01 
  1 KSP Residual norm 7.248178693102e-03 
  2 KSP Residual norm 3.567345681776e-03 
  3 KSP Residual norm 1.113509774805e-03 
  4 KSP Residual norm 6.176414994353e-04 
  5 KSP Residual norm 2.704145082978e-04 
  6 KSP Residual norm 2.675733680861e-04 
  7 KSP Residual norm 1.136227272292e-04 
  8 KSP Residual norm 5.557290183782e-05 
  9 KSP Residual norm 3.159799880435e-05 
 10 KSP Residual norm 1.919407550074e-05 
 11 KSP Residual norm 9.999602506625e-06 
 12 KSP Residual norm 9.955156804982e-06 
 13 KSP Residual norm 5.936336203019e-06 
 14 KSP Residual norm 3.461560260196e-06 
 15 KSP Residual norm 2.290053764111e-06 
 16 KSP Residual norm 1.297385749464e-06 
 17 KSP Residual norm 8.343539018440e-07 
 18 KSP Residual norm 8.292990986929e-07 
 19 KSP Residual norm 4.114817610919e-07 
 20 KSP Residual norm 2.243961593725e-07 
 21 KSP Residual norm 1.069794573619e-07 
 22 KSP Residual norm 3.784973536243e-08 
 23 KSP Residual norm 1.742139819049e-08 
 24 KSP Residual norm 1.720643064903e-08 
 25 KSP Residual norm 7.573128816151e-09 
 26 KSP Residual norm 2.766027686743e-09 
 27 KSP Residual norm 1.295023764240e-09 
 28 KSP Residual norm 5.851245500236e-10 
 29 KSP Residual norm 2.929975011703e-10 
 30 KSP Residual norm 2.917014026069e-10 
 31 KSP Residual norm 1.928584057039e-10 
 32 KSP Residual norm 1.217607406060e-10 
