  Residual norms for solver_ solve.
  0 KSP Residual norm 5.571335613770e-01 
  1 KSP Residual norm 1.501733071201e-01 
  2 KSP Residual norm 8.892305607563e-02 
  3 KSP Residual norm 4.658880323346e-02 
  4 KSP Residual norm 1.749108900743e-02 
  5 KSP Residual norm 5.909969376170e-03 
  6 KSP Residual norm 2.719162102565e-03 
  7 KSP Residual norm 1.299508468262e-03 
  8 KSP Residual norm 5.050262091643e-04 
  9 KSP Residual norm 2.431247406598e-04 
 10 KSP Residual norm 1.378634554283e-04 
 11 KSP Residual norm 7.846932860843e-05 
 12 KSP Residual norm 6.565285359038e-05 
 13 KSP Residual norm 2.575663708029e-05 
 14 KSP Residual norm 1.447850567484e-05 
 15 KSP Residual norm 7.121326372449e-06 
 16 KSP Residual norm 4.088358792136e-06 
 17 KSP Residual norm 1.483997420150e-06 
 18 KSP Residual norm 4.189364844859e-07 
 19 KSP Residual norm 1.991611508747e-07 
 20 KSP Residual norm 6.471156275343e-08 
 21 KSP Residual norm 2.030777091771e-08 
 22 KSP Residual norm 1.104931573351e-08 
 23 KSP Residual norm 8.284224407792e-09 
 24 KSP Residual norm 3.975460493775e-09 
 25 KSP Residual norm 2.049451138786e-09 
 26 KSP Residual norm 1.099517242908e-09 
 27 KSP Residual norm 3.660754558086e-10 
 28 KSP Residual norm 1.143703060351e-10 
  Residual norms for solver_ solve.
  0 KSP Residual norm 5.571335613770e-01 
  1 KSP Residual norm 1.501733071201e-01 
  2 KSP Residual norm 8.892305607563e-02 
  3 KSP Residual norm 4.658880323346e-02 
  4 KSP Residual norm 1.749108900743e-02 
  5 KSP Residual norm 5.909969376170e-03 
  6 KSP Residual norm 2.719162102565e-03 
  7 KSP Residual norm 1.299508468262e-03 
  8 KSP Residual norm 5.050262091643e-04 
  9 KSP Residual norm 2.431247406598e-04 
 10 KSP Residual norm 1.378634554283e-04 
 11 KSP Residual norm 7.846932860843e-05 
 12 KSP Residual norm 6.565285359038e-05 
 13 KSP Residual norm 2.575663708029e-05 
 14 KSP Residual norm 1.447850567484e-05 
 15 KSP Residual norm 7.121326372449e-06 
 16 KSP Residual norm 4.088358792136e-06 
 17 KSP Residual norm 1.483997420150e-06 
 18 KSP Residual norm 4.189364844859e-07 
 19 KSP Residual norm 1.991611508747e-07 
 20 KSP Residual norm 6.471156275343e-08 
 21 KSP Residual norm 2.030777091771e-08 
 22 KSP Residual norm 1.104931573351e-08 
 23 KSP Residual norm 8.284224407792e-09 
 24 KSP Residual norm 3.975460493775e-09 
 25 KSP Residual norm 2.049451138786e-09 
 26 KSP Residual norm 1.099517242908e-09 
 27 KSP Residual norm 3.660754558086e-10 
 28 KSP Residual norm 1.143703060351e-10 
