  Residual norms for solver_ solve.
  0 KSP Residual norm 1.572541328849e+00 
  1 KSP Residual norm 9.782664463653e-03 
  2 KSP Residual norm 5.835990277937e-03 
  3 KSP Residual norm 4.537028936760e-03 
  4 KSP Residual norm 2.767103594627e-03 
  5 KSP Residual norm 1.526657081151e-03 
  6 KSP Residual norm 1.516325958825e-03 
  7 KSP Residual norm 8.088224871893e-04 
  8 KSP Residual norm 4.809679350370e-04 
  9 KSP Residual norm 3.132823205166e-04 
 10 KSP Residual norm 2.203698600075e-04 
 11 KSP Residual norm 1.547689113029e-04 
 12 KSP Residual norm 1.490071938298e-04 
 13 KSP Residual norm 1.010195811889e-04 
 14 KSP Residual norm 6.022629182323e-05 
 15 KSP Residual norm 3.755401622779e-05 
 16 KSP Residual norm 2.372446402695e-05 
 17 KSP Residual norm 1.602748321268e-05 
 18 KSP Residual norm 1.565211030928e-05 
 19 KSP Residual norm 1.062337308172e-05 
 20 KSP Residual norm 7.258391871120e-06 
 21 KSP Residual norm 4.515365333074e-06 
 22 KSP Residual norm 2.494589860201e-06 
 23 KSP Residual norm 1.528700574569e-06 
 24 KSP Residual norm 1.432847562469e-06 
 25 KSP Residual norm 9.410372084180e-07 
 26 KSP Residual norm 5.773061012256e-07 
 27 KSP Residual norm 3.227041078782e-07 
 28 KSP Residual norm 1.817721952817e-07 
 29 KSP Residual norm 1.170338837886e-07 
 30 KSP Residual norm 1.086297798985e-07 
 31 KSP Residual norm 7.504395571997e-08 
 32 KSP Residual norm 4.842107928015e-08 
 33 KSP Residual norm 3.254369231569e-08 
 34 KSP Residual norm 2.225792860644e-08 
 35 KSP Residual norm 1.436838984110e-08 
 36 KSP Residual norm 1.343193673097e-08 
 37 KSP Residual norm 8.769060242512e-09 
 38 KSP Residual norm 5.340897865827e-09 
 39 KSP Residual norm 3.122234001661e-09 
 40 KSP Residual norm 1.846331506959e-09 
 41 KSP Residual norm 1.068436843596e-09 
 42 KSP Residual norm 1.009013980365e-09 
 43 KSP Residual norm 5.995217324302e-10 
 44 KSP Residual norm 3.450184585733e-10 
 45 KSP Residual norm 1.972526618424e-10 
  Residual norms for solver_ solve.
  0 KSP Residual norm 1.572541328849e+00 
  1 KSP Residual norm 9.782664463653e-03 
  2 KSP Residual norm 5.835990277937e-03 
  3 KSP Residual norm 4.537028936762e-03 
  4 KSP Residual norm 2.767103595940e-03 
  5 KSP Residual norm 1.526659222961e-03 
  6 KSP Residual norm 1.516406962469e-03 
  7 KSP Residual norm 8.088224897690e-04 
  8 KSP Residual norm 4.809679316957e-04 
  9 KSP Residual norm 3.132823202574e-04 
 10 KSP Residual norm 2.203698610533e-04 
 11 KSP Residual norm 1.547686361754e-04 
 12 KSP Residual norm 1.485797667275e-04 
 13 KSP Residual norm 1.010195932795e-04 
 14 KSP Residual norm 6.022631355163e-05 
 15 KSP Residual norm 3.755400939954e-05 
 16 KSP Residual norm 2.372446387222e-05 
 17 KSP Residual norm 1.602743041072e-05 
 18 KSP Residual norm 1.561351021478e-05 
 19 KSP Residual norm 1.062337345459e-05 
 20 KSP Residual norm 7.258391603788e-06 
 21 KSP Residual norm 4.515365456341e-06 
 22 KSP Residual norm 2.494589530607e-06 
 23 KSP Residual norm 1.528699424773e-06 
 24 KSP Residual norm 1.421478009574e-06 
 25 KSP Residual norm 9.410372391323e-07 
 26 KSP Residual norm 5.773061044555e-07 
 27 KSP Residual norm 3.227040853560e-07 
 28 KSP Residual norm 1.817721677295e-07 
 29 KSP Residual norm 1.170339207965e-07 
 30 KSP Residual norm 1.086162872017e-07 
 31 KSP Residual norm 7.504395366114e-08 
 32 KSP Residual norm 4.842106589906e-08 
 33 KSP Residual norm 3.254368908084e-08 
 34 KSP Residual norm 2.225792295131e-08 
 35 KSP Residual norm 1.436838345526e-08 
 36 KSP Residual norm 1.337311920489e-08 
 37 KSP Residual norm 8.769060106220e-09 
