  Residual norms for solver_ solve.
  0 KSP Residual norm 1.148493906698e+00 
  1 KSP Residual norm 1.618837616156e-04 
  2 KSP Residual norm 7.993364786365e-05 
  3 KSP Residual norm 7.684049255776e-05 
  4 KSP Residual norm 2.824488726905e-05 
  5 KSP Residual norm 1.577187631454e-05 
  6 KSP Residual norm 1.340692992411e-05 
  7 KSP Residual norm 7.752994465675e-06 
  8 KSP Residual norm 3.528290232321e-06 
  9 KSP Residual norm 2.918040933253e-06 
 10 KSP Residual norm 2.080494769832e-06 
 11 KSP Residual norm 1.189377198989e-06 
 12 KSP Residual norm 7.881887114582e-07 
 13 KSP Residual norm 7.058728480957e-07 
 14 KSP Residual norm 4.064045927610e-07 
 15 KSP Residual norm 1.957922472628e-07 
 16 KSP Residual norm 1.926399598560e-07 
 17 KSP Residual norm 1.022174280141e-07 
 18 KSP Residual norm 5.459713223457e-08 
 19 KSP Residual norm 5.459137652403e-08 
 20 KSP Residual norm 2.943728411092e-08 
 21 KSP Residual norm 1.648788426083e-08 
 22 KSP Residual norm 1.648523566140e-08 
 23 KSP Residual norm 8.007717132959e-09 
 24 KSP Residual norm 4.815661669007e-09 
 25 KSP Residual norm 4.794046554677e-09 
 26 KSP Residual norm 3.100806188958e-09 
 27 KSP Residual norm 1.807220126074e-09 
 28 KSP Residual norm 1.492581654407e-09 
 29 KSP Residual norm 1.135708865743e-09 
 30 KSP Residual norm 6.842233283039e-10 
 31 KSP Residual norm 4.033759265494e-10 
 32 KSP Residual norm 4.001823343015e-10 
 33 KSP Residual norm 2.207634023223e-10 
