  Residual norms for solver_ solve.
  0 KSP Residual norm 1.326187436389e+00 
  1 KSP Residual norm 2.278621466898e-04 
  2 KSP Residual norm 2.278380341364e-04 
  3 KSP Residual norm 1.219060803681e-04 
  4 KSP Residual norm 1.117344237770e-04 
  5 KSP Residual norm 1.110612314150e-04 
  6 KSP Residual norm 4.841395368296e-05 
  7 KSP Residual norm 4.841065721357e-05 
  8 KSP Residual norm 2.179263556565e-05 
  9 KSP Residual norm 1.966862904232e-05 
 10 KSP Residual norm 1.962817279856e-05 
 11 KSP Residual norm 7.870719656159e-06 
 12 KSP Residual norm 7.868355317506e-06 
 13 KSP Residual norm 4.472452571445e-06 
 14 KSP Residual norm 3.402210982643e-06 
 15 KSP Residual norm 3.396659691573e-06 
 16 KSP Residual norm 1.390983712837e-06 
 17 KSP Residual norm 1.390644844487e-06 
 18 KSP Residual norm 7.926703722853e-07 
 19 KSP Residual norm 5.294871107255e-07 
 20 KSP Residual norm 5.292428006816e-07 
 21 KSP Residual norm 2.515280364097e-07 
 22 KSP Residual norm 2.513411873925e-07 
 23 KSP Residual norm 1.867464960026e-07 
 24 KSP Residual norm 1.358541938726e-07 
 25 KSP Residual norm 1.358151113879e-07 
 26 KSP Residual norm 7.050163054561e-08 
 27 KSP Residual norm 7.045370256850e-08 
 28 KSP Residual norm 5.542860379619e-08 
 29 KSP Residual norm 3.690627276208e-08 
 30 KSP Residual norm 3.688529309139e-08 
 31 KSP Residual norm 1.982873898891e-08 
 32 KSP Residual norm 1.982230979341e-08 
 33 KSP Residual norm 1.268139767108e-08 
 34 KSP Residual norm 9.333350682014e-09 
 35 KSP Residual norm 9.327294011091e-09 
 36 KSP Residual norm 3.608785971902e-09 
 37 KSP Residual norm 3.606245854783e-09 
 38 KSP Residual norm 2.519061273826e-09 
 39 KSP Residual norm 1.503396809757e-09 
 40 KSP Residual norm 1.502795745601e-09 
 41 KSP Residual norm 6.725410505141e-10 
 42 KSP Residual norm 6.721492744392e-10 
 43 KSP Residual norm 3.994162476963e-10 
 44 KSP Residual norm 2.437056058509e-10 
