  Residual norms for solver_ solve.
  0 KSP Residual norm 2.025509477309e+00 
  1 KSP Residual norm 5.573537172228e-03 
  2 KSP Residual norm 3.210050229910e-03 
  3 KSP Residual norm 3.030515148090e-03 
  4 KSP Residual norm 2.460446983898e-03 
  5 KSP Residual norm 1.488583946812e-03 
  6 KSP Residual norm 1.098176165756e-03 
  7 KSP Residual norm 8.270238353698e-04 
  8 KSP Residual norm 4.392090555946e-04 
  9 KSP Residual norm 3.071916389067e-04 
 10 KSP Residual norm 2.498301154959e-04 
 11 KSP Residual norm 1.507933473685e-04 
 12 KSP Residual norm 1.105040857990e-04 
 13 KSP Residual norm 9.560425724666e-05 
 14 KSP Residual norm 6.169012976606e-05 
 15 KSP Residual norm 4.223783583966e-05 
 16 KSP Residual norm 3.879483028147e-05 
 17 KSP Residual norm 2.407076523405e-05 
 18 KSP Residual norm 1.647075741353e-05 
 19 KSP Residual norm 1.558350386799e-05 
 20 KSP Residual norm 1.008798692419e-05 
 21 KSP Residual norm 7.006270310918e-06 
 22 KSP Residual norm 6.746825864294e-06 
 23 KSP Residual norm 4.459854542942e-06 
 24 KSP Residual norm 2.807353383340e-06 
 25 KSP Residual norm 2.746921271832e-06 
 26 KSP Residual norm 1.597283543975e-06 
 27 KSP Residual norm 9.045849934807e-07 
 28 KSP Residual norm 8.922283170951e-07 
 29 KSP Residual norm 4.964288034516e-07 
 30 KSP Residual norm 2.782310149784e-07 
 31 KSP Residual norm 2.756972584604e-07 
 32 KSP Residual norm 1.456687097700e-07 
 33 KSP Residual norm 8.404568959207e-08 
 34 KSP Residual norm 8.352925906053e-08 
 35 KSP Residual norm 4.865709650511e-08 
 36 KSP Residual norm 2.536751809403e-08 
 37 KSP Residual norm 2.523040174415e-08 
 38 KSP Residual norm 1.450767096546e-08 
 39 KSP Residual norm 8.955120403103e-09 
 40 KSP Residual norm 8.927219642425e-09 
 41 KSP Residual norm 5.356229914231e-09 
 42 KSP Residual norm 3.106212956846e-09 
 43 KSP Residual norm 3.096801626078e-09 
 44 KSP Residual norm 1.980893717694e-09 
 45 KSP Residual norm 1.326777612917e-09 
 46 KSP Residual norm 1.322601493220e-09 
 47 KSP Residual norm 8.159365685022e-10 
 48 KSP Residual norm 5.498235955064e-10 
 49 KSP Residual norm 5.482010978772e-10 
 50 KSP Residual norm 3.753327728574e-10 
