1,	0.5,	2,	0.268642,	0.268642,	2,	13
1,	0.5,	2,	0.134321,	0.134321,	3,	13
1,	0.5,	2,	0.0671606,	0.0671606,	4,	13
1,	0.5,	2,	0.0335803,	0.0335803,	5,	13
1,	0.5,	2,	0.0167902,	0.0167902,	6,	13
1,	0.5,	2,	0.00839508,	0.00839508,	7,	13
1,	0.5,	2,	0.00419754,	0.00419754,	8,	13
2,	0.5,	4,	0.134321,	0.134321,	3,	13
2,	0.5,	4,	0.0671606,	0.0671606,	4,	13
2,	0.5,	4,	0.0335803,	0.0335803,	5,	13
2,	0.5,	4,	0.0167902,	0.0167902,	6,	13
2,	0.5,	4,	0.00839508,	0.00839508,	7,	13
4,	0.5,	8,	0.134321,	0.134321,	3,	13
4,	0.5,	8,	0.0671606,	0.0671606,	4,	13
4,	0.5,	8,	0.0335803,	0.0335803,	5,	13
4,	0.5,	8,	0.0167902,	0.0167902,	6,	13
4,	0.5,	8,	0.00839508,	0.00839508,	7,	13
